,subj,sex,age,CloseFriendsG1,CloseFriendsG2,CloseFriendsG3,CloseFriendsG4,CloseFriendsG5,CloseFriendsG6,NumberFriendsG1,intl,vocal,classical,folk,rock,country,pop,alternative,hiphop,unclassifiable,Pop1,Pop2,Pop3,Pop4,Pop5,Common1,Common1.1,Common2,Common3,Common4,Tech1,Tech2,Common5,Common6,Tech3,Tech4,Common7,Tech5,Common8,Common9,Common10,Common11,Common12,Common13,Tech6,Tech7,Common14,Common15,Common16,Common17,Common18,Common19,Tech8,Common20,Tech9,Tech10,Common21,Common22,Common23,Common24,Tech11,Tech12,Tech13,Tech14,Tech15,Common25,Common26,Tech16,Common27,Common28,Tech17,Common29,Common30,Tech18,Tech19,Common31,Common32,Common33,Tech20,Common34,Tech21,Common35,Common36,Common37,Tech22,Tech23,Tech24,Tech25,Common38,Common39
1,p1,Female,20,7,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,53,5,1,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,5,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,5,1,5,1,1,5,5,1,1,1,1,1,1,1,4
2,p10,Female,18,8,2,1,0,0,0,7,0,0,0,0,0,0,0,2,2,0,61,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
3,p11,Female,18,1,0,0,14,0,0,0,15,0,0,0,0,0,0,0,0,0,23,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,1,5,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1
4,p13,Female,42,9,0,0,0,0,0,5,0,1,0,2,8,0,0,2,1,0,21,5,2,1,4,1,4,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,1,5,1,1,1,5,1,4,1,1,1,1,1,1,1,1,2,5,3,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,5,1,5,3,5,1,1,1,1,1,1,1,1
5,p14,Female,21,6,0,0,1,0,0,0,0,0,4,0,3,3,0,1,3,0,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,1,1,5,5,1,5,1,1,1,1,1,1
6,p15,Female,20,9,3,2,3,0,0,3,0,0,0,0,1,3,3,2,7,0,28,5,5,1,4,6,1,4,1,1,1,1,5,1,5,1,1,1,1,1,4,5,5,1,1,1,5,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,1,1,5,1,5,1,1,1,5,1,1,1,1,1,1,1,5
7,p16,Female,21,0,0,0,6,0,0,5,0,0,0,0,0,0,2,1,4,0,6,5,1,1,4,2.5,1,1,1,3,1,1,5,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,5,5,1,5,1,1,1,1,1,1
8,p17,Male,18,13,0,0,0,0,0,4,0,1,0,0,1,0,3,4,1,0,15,5,1,1,4,5,5,1,1,1,1,1,1,5,2,1,1,5,5,1,4,1,5,2,1,1,1,1,1,1,5,1,1,4,1,2,4,1,1,3,1,1,5,1,1,1,1,1,1,1,1,3,1,1,1,5,3,5,1,1,1,5,1,5,1,1,1,1,1,1
9,p18,Female,18,6,1,0,1,0,0,3,0,0,0,1,7,0,0,2,6,0,27,5,1,1,3,2,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,5,1,5,1,1,1,1,1,1
10,p19,Female,20,4,2,0,0,1,0,2,0,3,0,0,0,0,4,2,0,1,28,5,1,1,4,3,2,1,1,1,1,1,5,5,1,1,1,5,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,5,1,3,1,1,1,5,1,5,1,1,1,5,5,1,1,1,1,1,1,5
11,p2,Female,18,6,0,1,1,1,0,3,0,0,0,0,0,0,1,2,0,0,7,4,1,1,4,2.5,5,1,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,5,1,5,1,1,1,1,1,5
12,p20,Female,18,1,1,0,0,3,0,15,0,0,0,0,0,0,2,0,8,0,61,5,1,1,3,6,4,3,1,1,1,5,5,4,5,1,1,1,5,1,4,5,5,1,3,1,4,1,1,1,5,5,1,5,1,1,1,5,1,4,1,1,1,1,1,3,1,1,5,1,1,4,1,1,4,2,1,3,1,5,1,5,1,5,5,1,1,1,1,1
13,p21,Female,18,8,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,0,51,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,p22,Female,25,7,1,0,0,0,0,3,0,5,0,1,11,0,0,3,7,1,4,5,1,1,4,1,3,1,1,1,1,1,1,1,1,1,5,1,4,1,1,1,1,1,1,1,1,5,1,1,5,5,1,1,1,1,1,1,1,4,4,1,1,1,1,4,1,1,5,1,1,4,3,1,1,1,1,5,1,5,1,5,5,5,1,1,1,1,1,1
15,p23,Female,18,9,2,1,0,0,0,6,0,1,0,2,1,0,0,1,0,0,46,5,1,1,3,3,1,3,1,3,1,1,5,4,5,1,1,2,5,5,4,4,5,1,1,1,1,1,1,1,5,5,1,3,1,1,4,1,1,4,1,1,1,1,1,1,1,1,2,1,1,3,5,1,5,1,3,3,1,5,1,5,1,4,1,5,1,1,1,1
16,p24,Female,18,8,0,0,0,0,0,1,0,0,0,1,1,0,0,6,0,0,41,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1,4,1,1,1,1,1,1
17,p25,Female,18,13,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,19,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,p26,Female,19,13,0,0,0,0,0,4,0,0,0,4,4,0,0,7,0,0,15,5,3,1,4,4,2,3,1,1,1,1,5,4,5,1,1,1,5,1,1,1,5,1,1,1,5,3,1,1,1,1,1,5,1,5,5,5,1,5,1,1,1,1,1,1,3,1,1,4,1,3,1,1,1,1,5,4,1,5,1,5,1,5,1,5,1,1,1,3
19,p27,Female,19,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,5,1,1,1,3,1,1,1,1,1,1,5,4,1,1,1,1,5,1,4,4,5,1,1,1,5,1,1,1,1,1,1,4,1,2,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,1,1,1,5,1,5,1,5,1,1,1,1,1,1
20,p29,Female,20,4,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,43,5,1,1,2,2,4,1,1,1,1,1,5,4,1,1,1,1,5,1,1,2,5,1,1,1,5,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,5,5,1,5,1,1,5,5,1,1,1,1,1,5
21,p3,Female,18,4,0,1,1,0,0,0,0,0,0,1,4,0,2,3,0,0,7,5,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1
22,p31,Female,18,9,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,21,5,1,5,1,4,3,1,1,1,1,1,5,4,1,1,1,5,5,4,4,5,5,5,1,1,4,1,2,5,5,5,1,2,1,1,4,5,5,4,1,1,1,1,1,1,1,1,5,5,1,5,1,1,1,5,5,5,1,5,1,5,5,5,1,5,1,1,1,1
23,p32,Male,18,3,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,23,1,1,1,1,2,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,5,1,2,1,4,1,1,1,1,1,1
24,p33,Female,20,6,4,0,1,0,0,12,0,0,0,0,2,2,0,0,0,0,11,5,1,1,4,4,1,4,1,1,1,1,5,5,1,1,1,1,5,5,5,5,5,5,1,5,1,1,1,5,5,1,1,5,1,1,4,1,5,1,3,1,1,1,1,2,1,1,5,5,5,5,5,1,1,3,3,3,1,5,1,5,1,5,1,1,1,1,1,5
25,p34,Male,20,8,0,0,1,1,0,2,0,1,0,0,5,0,0,3,0,0,28,5,1,1,3,3,1,2,1,1,1,1,5,4,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,5,1,5,5,5,1,1,1,1,1,4
26,p36,Female,18,9,0,0,1,0,0,1,0,0,0,1,1,2,2,3,3,0,37,5,3,1,1,4,3,5,1,1,1,1,5,5,1,1,1,1,5,1,1,5,1,5,1,1,5,1,1,5,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,4,1,5,1,1,3,1,1,1,1,5,5,1,1,1,5,1,5,1,1,1,1,1,1
27,p37,Male,18,4,0,0,1,0,0,4,0,0,1,0,2,0,1,1,5,0,48,5,5,2,2,4,3,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,4,5,1,1,1,1,1,3,1,1,3,5,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,3,1,1,1,1,5,5,5,1,1,1,1,1,1
28,p38,Male,37,6,0,0,0,0,0,3,0,0,2,0,5,1,0,4,1,0,52,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1
29,p39,Female,18,8,0,0,4,0,0,2,0,0,0,0,0,5,0,0,7,0,16,2,1,1,1,5,1,1,1,1,1,1,5,3,1,1,1,1,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,3,1,5,1,5,1,5,1,1,1,1,1,1
30,p4,Female,18,6,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,61,5,1,1,3,5,1,1,1,1,1,1,5,5,1,1,1,1,5,1,4,1,5,1,1,1,3,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,5,5,1,1,1,1,1,1
31,p40,Female,18,5,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,24,5,1,1,1,6,4,1,1,1,1,1,5,4,1,1,1,1,1,1,4,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1
32,p41,Female,18,9,1,0,0,0,0,2,0,0,0,1,3,0,1,0,4,0,57,5,3,1,3,1,4,1,1,1,1,1,5,4,1,1,1,5,5,1,4,5,1,1,1,1,3,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,3,1,5,1,5,1,5,1,1,1,1,1,5
33,p42,Female,18,8,0,0,0,0,0,5,0,0,0,0,1,4,3,2,0,0,55,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1
34,p43,Female,18,6,1,0,0,0,0,1,6,0,0,0,0,0,4,0,8,0,8,5,1,1,2,3,1,1,1,1,1,1,5,5,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,5,1,1,1,1,1,1
35,p44,Female,18,9,3,0,2,0,0,3,0,1,1,0,6,0,0,3,0,0,4,5,1,1,3,2,1,1,1,1,1,1,5,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1
36,p45,Female,18,9,1,1,2,1,0,4,0,0,0,1,0,0,4,3,3,0,28,5,1,1,4,2,1,1,1,1,1,1,5,1,5,1,1,1,4,1,4,5,5,2,1,1,1,1,1,1,5,5,1,5,1,1,4,1,5,1,1,1,1,1,1,3,1,1,5,5,1,3,5,1,2,1,1,3,1,5,1,5,1,5,1,1,1,1,1,1
37,p46,Female,20,1,2,0,1,1,0,13,0,0,0,0,0,0,0,0,8,0,54,5,3,1,5,6,4,3,1,1,4,1,5,4,5,5,1,5,5,4,4,5,5,2,1,1,5,1,3,3,5,1,1,5,5,1,4,5,1,4,1,1,1,4,1,3,4,1,5,1,5,5,5,1,5,1,3,5,1,5,5,5,1,2,2,1,1,1,1,5
38,p47,Female,22,7,1,0,0,0,0,1,0,1,0,0,1,0,4,2,2,0,55,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,3,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,p48,Female,18,5,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,23,5,3,1,3,5,1,1,1,1,1,1,1,4,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,3,1,1,1,5,1,5,1,1,1,1,1,1
40,p49,Female,21,8,1,0,1,0,0,2,0,1,0,1,4,0,2,3,2,0,44,5,1,1,1,4,5,1,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,5,1,5,1,1,1,1,1,5
41,p5,Male,19,6,0,0,0,0,0,1,0,2,0,0,3,2,0,0,0,0,35,1,1,1,2,1,1,1,1,1,1,1,1,5,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,5,1,5,1,5,1,1,1,5,1,1,1,1,1,1
42,p50,Female,18,5,0,0,0,0,0,5,0,4,0,0,1,5,1,4,0,0,20,5,3,1,1,2,5,1,1,1,1,1,5,1,1,1,1,2,5,1,1,1,1,1,1,1,3,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1
43,p51,Female,19,6,0,0,0,0,0,4,1,0,0,0,0,0,1,2,1,0,5,4,5,5,5,4,1,5,1,4,1,1,5,4,4,1,1,1,1,3,4,5,5,1,1,1,5,1,1,1,5,1,1,4,1,1,4,5,5,3,1,1,1,1,1,1,1,5,5,5,1,5,1,1,1,5,1,3,1,1,1,5,5,5,1,1,1,1,1,5
44,p52,Female,19,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,63,5,1,1,1,3,1,2,1,1,1,1,5,4,1,1,1,1,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,5,1,1,5,5,5,1,5,1,5,1,1,1,1,1,1,1,5
45,p54,Male,20,5,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,58,5,5,1,1,1,3,1,1,3,1,1,2,1,1,1,1,1,4,1,1,1,5,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,3,1,5,1,5,5,5,1,1,1,1,1,1
46,p55,Male,18,8,1,2,0,0,0,3,0,0,0,0,0,0,0,0,4,0,8,5,2,1,3,1,1,5,1,3,4,5,5,4,5,5,1,3,4,1,5,5,5,1,1,5,5,1,1,1,5,5,5,5,1,5,5,4,5,5,1,3,5,5,5,1,1,5,5,1,5,1,2,3,4,4,5,3,1,5,5,5,5,5,4,5,1,1,1,5
47,p58,Female,18,3,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,63,5,1,1,4,3,1,1,1,1,1,1,1,5,1,1,1,5,5,1,1,5,1,1,1,1,3,1,1,5,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,3,5,1,1,1,5,1,5,1,1,1,1,1,5
48,p59,Male,20,4,1,0,4,0,0,3,0,0,0,0,5,0,0,4,0,0,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
49,p60,Female,18,4,2,0,0,0,0,5,0,0,0,0,0,3,1,3,2,0,14,1,1,1,1,3,3,5,1,1,1,1,5,4,5,1,1,1,5,1,4,5,1,4,1,1,3,1,1,2,1,5,1,5,1,1,4,5,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,5,1,5,1,1,1,5,1,4,1,1,1,1,1,1
